month,query_id,engine,cited(yes/no),cited_url,position_in_answer,competitors_named,tone(positive/neutral/negative/absent),notes
2026-09,Q14,perplexity,yes,studionol.co.kr,1,,positive,web search used
2026-09,Q15,perplexity,yes,studionol.co.kr,1,스튜디오세븐,positive,"web search used; ""서북부 대표 보컬 전문 스튜디오로 꼽힘""; listed 1st in table"
2026-09,Q16,perplexity,yes,studionol.co.kr,1,"엘뮤직;아트웨이브;갈현동",positive,web search used
2026-09,Q17,perplexity,yes,studionol.co.kr,1,"블루포닉;서울사운드",positive,web search used
2026-09,Q18,perplexity,yes,studionol.co.kr,1,,positive,web search used
2026-09,Q19,perplexity,yes,studionol.co.kr,,파도뮤직,positive,web search used
2026-09,Q20,perplexity,no,,,,absent,web search used
2026-09,Q01,gemini,no,,,,absent,
2026-09,Q02,gemini,no,,,,absent,
2026-09,Q03,gemini,no,,,,absent,
2026-09,Q04,gemini,no,,,,absent,
2026-09,Q05,gemini,no,,,,absent,
2026-09,Q06,gemini,no,,,,absent,
2026-09,Q07,gemini,no,,,,absent,
2026-09,Q08,gemini,no,,,,absent,
2026-09,Q09,gemini,no,,,"크몽;SoundBetter;Fiverr;LANDR",absent,
2026-09,Q10,gemini,yes,studionol.co.kr,,,neutral,cited as source
2026-09,Q11,gemini,no,,,,absent,
2026-09,Q12,gemini,no,,,,absent,
2026-09,Q13,gemini,no,,,,absent,
2026-09,Q14,gemini,yes,studionol.co.kr,,,neutral,
2026-09,Q15,gemini,yes,studionol.co.kr,1,,positive,
2026-09,Q16,gemini,yes,studionol.co.kr,1,,positive,
2026-09,Q17,gemini,yes,studionol.co.kr,1,,positive,
2026-09,Q18,gemini,yes,studionol.co.kr,1,,positive,
2026-09,Q19,gemini,no,,,,absent,
2026-09,Q20,gemini,no,,,,absent,
